,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,743,6040
7,driver,Antonelli,20.2,120,,,,False,743,6040
8,driver,Alonso,18.8,111,,,,False,743,6040
11,driver,Sainz,14.6,192,,1.0,,False,743,6040
19,driver,Bortoleto,3.4,75,,,,False,743,6040
26,team,Williams,13.2,90,,1.0,,False,743,6037
1,driver,Norris,28.6,155,,1.0,,False,743,6037
2,driver,Leclerc,27.2,144,,,,False,743,6037
11,driver,Sainz,14.6,192,,1.0,,False,743,6037
13,driver,Albon,11.8,87,,,,False,743,6037
19,driver,Bortoleto,3.4,75,,,,False,743,6037
26,team,Williams,13.2,90,,1.0,,False,743,5912
1,driver,Norris,28.6,155,,1.0,,False,743,5912
2,driver,Leclerc,27.2,144,,,,False,743,5912
11,driver,Sainz,14.6,192,,1.0,,False,743,5912
13,driver,Albon,11.8,87,,,,False,743,5912
19,driver,Bortoleto,3.4,75,,,,False,743,5912
26,team,Williams,13.2,90,,1.0,,False,743,5773
1,driver,Norris,28.6,155,,1.0,,False,743,5773
2,driver,Leclerc,27.2,144,,,,False,743,5773
11,driver,Sainz,14.6,192,,1.0,,False,743,5773
13,driver,Albon,11.8,87,,,,False,743,5773
19,driver,Bortoleto,3.4,75,,,,False,743,5773
26,team,Williams,13.2,90,,1.0,,False,743,5689
1,driver,Norris,28.6,155,,1.0,,False,743,5689
2,driver,Leclerc,27.2,144,,,,False,743,5689
11,driver,Sainz,14.6,192,,1.0,,False,743,5689
13,driver,Albon,11.8,87,,,,False,743,5689
19,driver,Bortoleto,3.4,75,,,,False,743,5689
26,team,Williams,13.2,90,,1.0,,False,743,5667
1,driver,Norris,28.6,155,,1.0,,False,743,5667
3,driver,Hamilton,25.8,140,,,,False,743,5667
11,driver,Sainz,14.6,192,,1.0,,False,743,5667
12,driver,Ocon,13.2,91,,,,False,743,5667
19,driver,Bortoleto,3.4,75,,,,False,743,5667
26,team,Williams,13.2,90,,1.0,,False,743,5523
1,driver,Norris,28.6,155,,1.0,,False,743,5523
3,driver,Hamilton,25.8,140,,,,False,743,5523
11,driver,Sainz,14.6,192,,1.0,,False,743,5523
12,driver,Ocon,13.2,91,,,,False,743,5523
19,driver,Bortoleto,3.4,75,,,,False,743,5523
26,team,Williams,13.2,90,,1.0,,False,743,5483
1,driver,Norris,28.6,155,,1.0,,False,743,5483
2,driver,Leclerc,27.2,144,,,,False,743,5483
11,driver,Sainz,14.6,192,,1.0,,False,743,5483
13,driver,Albon,11.8,87,,,,False,743,5483
19,driver,Bortoleto,3.4,75,,,,False,743,5483
26,team,Williams,13.2,90,,1.0,,False,743,5448
1,driver,Norris,28.6,155,,1.0,,False,743,5448
7,driver,Antonelli,20.2,120,,,,False,743,5448
8,driver,Alonso,18.8,111,,,,False,743,5448
11,driver,Sainz,14.6,192,,1.0,,False,743,5448
19,driver,Bortoleto,3.4,75,,,,False,743,5448
26,team,Williams,13.2,90,,1.0,,False,743,5355
1,driver,Norris,28.6,155,,1.0,,False,743,5355
7,driver,Antonelli,20.2,120,,,,False,743,5355
8,driver,Alonso,18.8,111,,,,False,743,5355
11,driver,Sainz,14.6,192,,1.0,,False,743,5355
19,driver,Bortoleto,3.4,75,,,,False,743,5355
26,team,Williams,13.2,90,,1.0,,False,743,5285
1,driver,Norris,28.6,155,,1.0,,False,743,5285
7,driver,Antonelli,20.2,120,,,,False,743,5285
8,driver,Alonso,18.8,111,,,,False,743,5285
11,driver,Sainz,14.6,192,,1.0,,False,743,5285
19,driver,Bortoleto,3.4,75,,,,False,743,5285
26,team,Williams,13.2,90,,1.0,,False,743,5243
1,driver,Norris,28.6,155,,1.0,,False,743,5243
7,driver,Antonelli,20.2,120,,,,False,743,5243
8,driver,Alonso,18.8,111,,,,False,743,5243
11,driver,Sainz,14.6,192,,1.0,,False,743,5243
19,driver,Bortoleto,3.4,75,,,,False,743,5243
26,team,Williams,13.2,90,,1.0,,False,743,5179
